fic,costat,datafmt,indfmt,consol,gvkey,datadate,conm,city,naics,sic,at,capx,dpact,ppegt,ppent,sale
KOR,A,HIST_STD,INDL,C,104584,2014-12-31,GS ENGINEERING & CONSTRUCTN,Seoul,237,1600,13094708.9300,307953.8920,558479.0000,3014520.2320,2456041.2320,9487551.6350
KOR,A,HIST_STD,INDL,C,104584,2015-12-31,GS ENGINEERING & CONSTRUCTN,Seoul,237,1600,13005492.9880,227085.4670,354262.2440,1692793.0000,1338530.7560,10572620.3480
KOR,A,HIST_STD,INDL,C,104584,2016-12-31,GS ENGINEERING & CONSTRUCTN,Seoul,237,1600,13376589.3100,79108.1920,384660.9330,1362733.0000,978072.0670,11035596.4030
KOR,A,HIST_STD,INDL,C,104584,2017-12-31,GS ENGINEERING & CONSTRUCTN,Seoul,237,1600,13696614.6240,20776.2430,396377.0000,1293896.2890,897519.2890,11679456.0060
KOR,A,HIST_STD,INDL,C,104584,2018-12-31,GS ENGINEERING & CONSTRUCTN,Seoul,237,1600,12033275.3130,13696.2620,414794.0000,1255842.3350,841048.3350,13139372.9230
KOR,A,HIST_STD,INDL,C,104584,2019-12-31,GS ENGINEERING & CONSTRUCTN,Seoul,237,1600,13171205.7340,142819.3490,427791.0000,1603822.5650,1176031.5650,10416589.2020
KOR,A,HIST_STD,INDL,C,104584,2020-12-31,GS ENGINEERING & CONSTRUCTN,Seoul,237,1600,13770677.8890,127651.1780,434113.0000,1860886.6710,1426773.6710,10122930.8370
KOR,A,HIST_STD,INDL,C,104584,2021-12-31,GS ENGINEERING & CONSTRUCTN,Seoul,237,1600,15183727.2650,134918.7540,452412.0000,1995789.0190,1543377.0190,9036575.4230
KOR,A,HIST_STD,INDL,C,104584,2022-12-31,GS ENGINEERING & CONSTRUCTN,Seoul,237,1600,16946616.6970,295511.6280,518354.0000,2338160.1550,1819806.1550,12299196.2150
KOR,A,HIST_STD,INDL,C,104584,2023-12-31,GS ENGINEERING & CONSTRUCTN,Seoul,237,1600,17707298.5380,476147.1480,580534.0000,2836739.6990,2256205.6990,13436684.9040
